Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
RT @juliadeann: First a judge allows a terrorist to take a vacation to Mexico..then a judge orders that one gets organic food and now a ter…,2021-02-09 23:31:23,1359283784521310209,elzaphan10,,,3,0,en,,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:31:23,1359283784135233539,SleSharon,,,1966,0,en,Twitter Web App,,,False
First a judge allows a terrorist to take a vacation to Mexico..then a judge orders that one gets organic food and now a terrorist is asking a judge to let him go to Peru to get married? 🤦🏻‍♀️🤬,2021-02-09 23:31:17,1359283761658163201,juliadeann,,,3,4,en,Twitter for iPhone,,,False
"RT @ReneeAlida: Only in America do we reward stupidity with Mexican  vacations,  organic food and lawsuit settlements for using glue on you…",2021-02-09 23:31:05,1359283711867457536,sailorbill007,,,218,0,en,Twitter for Android,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:31:02,1359283696797442048,lovabelow98,,,1426,0,en,Twitter Web App,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:31:01,1359283693760770049,MJScanz,,,1966,0,en,Twitter for iPad,,,False
"RT @SANTINORICE: I knew that would get your attention. 

Now, instead of arguing with me, why don’t you just change your diet?

Support you…",2021-02-09 23:30:51,1359283650915876866,Angel_y_Leon,,,3,0,en,Twitter for Android,,,False
"@ninaturner Boy, I'm glad I made my own baby food.  Steam your own organic veggies and run them through a mini-food processor.  But any extra in a tiny empty jar and freeze until needed.",2021-02-09 23:30:49,1359283642867023873,Diana4Democracy,,,0,0,en,Twitter Web App,1359281716003803139,188793260,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:30:46,1359283632544874503,skybridgereggie,,,1426,0,en,Twitter for Android,,,False
"RT @RubyWaves_: The horned Q guy is eating organic food at another prison, because he was starving himself. 

Another insurrectionist is gr…",2021-02-09 23:30:43,1359283620138029056,kristiwelshies,,,44,0,en,Twitter Web App,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:30:28,1359283554144903168,Mountainjoy9,,,1966,0,en,Twitter for Android,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:29:46,1359283379233988609,dorimosher,,,1426,0,en,Twitter for Android,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:29:20,1359283269821423617,IzzyInCO,,,226,0,en,Twitter for Android,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:29:17,1359283256303235080,kdaniels264,,,1966,0,en,Twitter for Android,,,False
RT @Quanastarr: I like when the churches give away food. Every time I get off work on mondays I say a long line around the block with ppl w…,2021-02-09 23:29:08,1359283221142323202,elzaphan10,,,1,0,en,,,,False
"I like when the churches give away food. Every time I get off work on mondays I say a long line around the block with ppl waiting for their organic veggies, if that line wasn’t long I would go get me some too.",2021-02-09 23:29:03,1359283198262452224,Quanastarr,,,1,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:28:52,1359283152779370496,ilyssa_danielle,,,1426,0,en,Twitter for iPhone,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:28:28,1359283053885988867,jp_sox,,,1966,0,en,Twitter for Android,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:28:18,1359283011125207040,Skylark_NC,,,1966,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:27:46,1359282877196881920,Dragonfish57,,,1426,0,en,Twitter for Android,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:27:29,1359282805340012546,browniiz71,,,1426,0,en,Twitter for Android,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:27:25,1359282786855645184,Daniel23Suarez,,,226,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:27:21,1359282772766990336,Mwheel9,,,1426,0,en,Twitter for Android,,,False
"RT @WinnerBrittany: LIVID: my sister #RealityWinner (whistleblower, US Air Force veteran, patriot) has politely requested but been repeated…",2021-02-09 23:27:04,1359282699731693570,KCloudK,,,273,0,en,Twitter for iPad,,,True
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:26:59,1359282680081371144,patricia6424,,,1966,0,en,Twitter for Android,,,False
"RT @mrderekyang: Internal testing done by Gerber; Beech-Nut Nutrition Company; Nurture, Inc., which sells Happy Baby products; and Hain Cel…",2021-02-09 23:26:54,1359282659709628416,elzaphan10,,,1,0,en,,,,True
"Internal testing done by Gerber; Beech-Nut Nutrition Company; Nurture, Inc., which sells Happy Baby products; and Hain Celestial Group, Inc., which sells Earth's Best Organic baby food, showed levels of heavy metals far above limits set for bottled water by the FDA and the USEPA https://t.co/lMca3o33XG",2021-02-09 23:26:49,1359282636800278530,mrderekyang,,,1,0,en,Twitter for Android,,,True
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:26:39,1359282594257461255,itsGabrielle_k,,,1426,0,en,Twitter for iPhone,,,False
RT @WillasKitchen: Thank you so much for highlighting Willa's Organic Oat Milk @FrancesLRothRD @TODAYshow !!! 😊https://t.co/GsNiMscWHT via…,2021-02-09 23:26:38,1359282591493414915,elzaphan10,,,1,0,en,,,,False
Thank you so much for highlighting Willa's Organic Oat Milk @FrancesLRothRD @TODAYshow !!! 😊https://t.co/GsNiMscWHT via @TODAYshow,2021-02-09 23:26:33,1359282568605143040,WillasKitchen,,,1,0,en,Twitter Web App,,,False
@Amy_Siskind No Mexico vacation? Any special organic food requests?,2021-02-09 23:26:25,1359282537810571265,eturner525,,,0,1,en,Twitter for Android,1359281717106868227,15976705,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:26:20,1359282515807207424,flemingdrx,,,1966,0,en,Twitter for Android,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:25:56,1359282412761608192,NeoNails45,,,1426,0,en,Twitter for iPhone,,,False
RT @jerseabeachlvr: @AyannaPressley Shameful. And now our system of injustice is feeding insurrectionists organic food and letting them vac…,2021-02-09 23:25:41,1359282352304840710,GeorgiaPeach177,,,10,0,en,Twitter for Android,,,False
"RT @CyndyinFL: C'mon now - white privilege much?! First, the woman who has a pre-planned trip to Mexico - TOUGH SHIT! And the horned QAnon…",2021-02-09 23:25:39,1359282344310562816,elzaphan10,,,1,0,en,,,,True
"C'mon now - white privilege much?! First, the woman who has a pre-planned trip to Mexico - TOUGH SHIT! And the horned QAnon ""shaman"" going on a hunger strike until he got organic food?? WTH is going on?

Totally disgusting! https://t.co/9UevSB4UZ4",2021-02-09 23:25:34,1359282321195732994,CyndyinFL,,,1,0,en,Twitter Web App,,,True
"@t_sassenach @CNN Exactly! People are in food lines and this POS demands and gets an organic diet... @GOP...this is your base...people are dying, jobless and homeless because of Trump's incompetence and this guy needs organic food? What is wrong with you people???",2021-02-09 23:25:27,1359282291680370689,Hyacint99624698,,,0,0,en,Twitter for Android,1358986256810577922,25461870,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:25:24,1359282279982465027,Tanya_RBLee,,,226,0,en,Twitter for Android,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:25:20,1359282263138185216,WestonSara1,,,1966,0,en,Twitter for iPad,,,False
RT @jerseabeachlvr: @AyannaPressley Shameful. And now our system of injustice is feeding insurrectionists organic food and letting them vac…,2021-02-09 23:25:14,1359282237901045763,According2MJ,,,10,0,en,Twitter for Android,,,False
"RT @WinnerBrittany: LIVID: my sister #RealityWinner (whistleblower, US Air Force veteran, patriot) has politely requested but been repeated…",2021-02-09 23:24:44,1359282110356328450,girls_smarter,,,273,0,en,Twitter Web App,,,True
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:24:35,1359282074587435008,Taylorkm14,,,226,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:24:27,1359282039652904964,CardLinda,,,1426,0,en,Twitter for iPhone,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:24:19,1359282008808189953,queenolympiaa,,,226,0,en,Twitter Web App,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:24:06,1359281954433212422,jenpennock,,,1426,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:24:06,1359281951048425474,thebouncingbird,,,1426,0,en,Twitter Web App,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:23:56,1359281911248523266,CorinaRey,,,226,0,en,Twitter for iPhone,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:23:47,1359281872317120513,drfarmertx,,,1966,0,en,Twitter for iPhone,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:23:39,1359281840457093125,FishyOne5,,,1966,0,en,Twitter for Android,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:23:32,1359281811243761664,KTS_Stories,,,226,0,en,Twitter for iPhone,,,False
"@oheldon @dewk_s @NotTheRealOpus @AP Qanon insurgent will get his organic food especially prepared and will be given another chance, as asked. Does one need a hint to who’s white, who’s black in the story? If yes, there’s plenty of data out, you don’t need to read a single case in particular, just the graphs.",2021-02-09 23:23:31,1359281805367660551,InigoMo80894425,,,0,0,en,Twitter for iPhone,1359279449682956292,1291103705249587205,False
RT @NOtoGMOs: @RobertKennedyJr @DJSiri And you can be sure he'll be supporting #GMO and #CRISPR  technologies.  Buy #organic food if you ar…,2021-02-09 23:23:28,1359281793002840066,elzaphan10,,,4,0,en,,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:23:27,1359281788007288832,WeirMB,,,1966,0,en,Twitter for iPhone,,,False
RT @NOtoGMOs: @RobertKennedyJr @DJSiri And you can be sure he'll be supporting #GMO and #CRISPR  technologies.  Buy #organic food if you ar…,2021-02-09 23:23:22,1359281770202619904,annika1021,,,4,0,en,Twitter for Android,,,False
"RT @ReneeAlida: Only in America do we reward stupidity with Mexican  vacations,  organic food and lawsuit settlements for using glue on you…",2021-02-09 23:23:17,1359281748505485316,GrannyBLUE4,,,218,0,en,Twitter for Android,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:23:03,1359281687847403523,baker_brittany_,,,1426,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:23:01,1359281678410276870,sasslyn_,,,1426,0,en,Twitter Web App,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:22:38,1359281584197804039,DeborahFordJohn,,,1966,0,en,Twitter for iPad,,,False
"RT @candies2639: 'QAnon Shaman' rioter will eat organic food, while most prisons and jails have reputation for serving food that is unhealt…",2021-02-09 23:22:35,1359281572889911307,Krickette01,,,5,0,en,Twitter Web App,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:22:16,1359281491797102593,cblazblaz,,,1966,0,en,Twitter for iPhone,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:21:50,1359281384150478848,bnmazie,,,226,0,en,Twitter for iPhone,,,False
