Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
@SarahLongshot @TragicallyKip @pobrecheeto @queeersocialist @n0tasoldier You can’t buy organic food with food stamps? If that doesn’t tell you something I don’t know what to tell you...so if you’re low income you can’t eat healthy? 🤔,2021-02-09 23:14:29,1359279534000926720,SAlkamist,,,0,1,en,Twitter for iPhone,1359170019905712139,19377355,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:14:22,1359279503990796294,EdStern,,,1426,0,en,Tweetbot for iΟS,,,False
"RT @NaturalsTriple: https://t.co/Z1XAt34TP6

Yes, You Should Eat Dark Chocolate Daily (Here’s Why)

Thanks to unhealthy processing methods,…",2021-02-09 23:14:16,1359279478053212160,elzaphan10,,,1,0,en,,,,False
"https://t.co/Z1XAt34TP6

Yes, You Should Eat Dark Chocolate Daily (Here’s Why)

Thanks to unhealthy processing methods, chocolate has earned a reputation as a “junk food.” While the candy bars lining the supermarket shelf are certainly not good for you, organic, raw dark... https://t.co/961iLL1WGc",2021-02-09 23:14:10,1359279454762262528,NaturalsTriple,,,1,0,en,Twitter Web App,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:12:44,1359279091971670021,CMetcalf77,,,1426,0,en,Twitter for iPhone,,,False
"RT @VoLinxx: Terrill Thomas died in April 2016 after being denied water for seven days at Milwaukee County Jail.

Jacob Chansley stormed th…",2021-02-09 23:11:50,1359278866615971840,UnknownVisitor,,,15207,0,en,Twitter for iPhone,,,False
@Retractionmedia @CNNPolitics What religion requires organic food??? What a bunch of BS,2021-02-09 23:11:34,1359278800840912898,SemraGuzman,,,0,0,en,Twitter for iPhone,1358952145433874435,1269660949776158720,False
"@CNN It is infuriating that people who have never committed a crime and who have fallen on  hard times are taking any food they can get and many parents don't eat, so their children can... and this asshat is being provided organic food. I understand dietary restrictions,  this is BS.",2021-02-09 23:11:18,1359278732775669761,Hyacint99624698,,,0,0,en,Twitter for Android,1358940187439599625,759251,False
RT @terahking: Mark Wiens YouTube channel &gt;_____  His passion for Food and culture is so organic. Top tier vlogging. #markwiens https://t.c…,2021-02-09 23:11:09,1359278694402052106,elzaphan10,,,1,0,en,,,,False
Mark Wiens YouTube channel &gt;_____  His passion for Food and culture is so organic. Top tier vlogging. #markwiens https://t.co/RRMpPW3HpP,2021-02-09 23:11:04,1359278671190757389,terahking,,,1,0,en,Twitter for Android,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:09:56,1359278386095525894,Ripley1971,,,1966,0,en,Twitter for Android,,,False
"RT @VoLinxx: Terrill Thomas died in April 2016 after being denied water for seven days at Milwaukee County Jail.

Jacob Chansley stormed th…",2021-02-09 23:09:55,1359278385487314945,hameed_shahir,,,15207,0,en,Twitter Web App,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:09:44,1359278339437989892,MileHighTRM,,,1426,0,en,Twitter for Android,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:09:37,1359278309801140224,JasonXHowe,,,1426,0,en,Twitter Web App,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:09:13,1359278206583455748,DianeLauraNYC,,,1966,0,en,Twitter for iPad,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:09:03,1359278167668719616,Jorni21,,,1426,0,en,Twitter for Android,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:08:51,1359278113293819908,Oldude9,,,1966,0,en,Twitter for iPhone,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:08:28,1359278018435416065,salud123,,,1966,0,en,Twitter for iPad,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:08:09,1359277938332430337,Doctorb70,,,1966,0,en,Twitter for iPhone,,,False
RT @BecauseSoftly: @Qbertglock What about Christians who point illegally gifted Glocks at their supporters after helping racist militias wi…,2021-02-09 23:07:53,1359277872041648129,elzaphan10,,,1,0,en,,,,True
"@Qbertglock What about Christians who point illegally gifted Glocks at their supporters after helping racist militias with a coup? I think they are worse than vegans who go to Arbys 

P.S. Why are you shitposting in organic food threads? Kerry Donovan is coming for your seat. https://t.co/d1i7dGY9Vl",2021-02-09 23:07:47,1359277848586907649,BecauseSoftly,,,1,1,en,Twitter Web App,,1347616040797265921,True
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:07:39,1359277811245060100,piptiegirl,,,1966,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:07:37,1359277804312023044,HerHandsMyHands,,,1426,0,en,Twitter Web App,,,False
